	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
10	-0.9999899	-0.9999542	0.9999717	-0.9999371	0.99998546	-0.9999877	0.9999758	-0.99999046	0.9999628	-0.99995005	-0.99996024	0.9999491	0.99999166	-0.9999732	-0.99998724	0.9999538	-0.99996233	0.99998707	-0.9999871	-0.99998075	0.9999871	0.9999908	-0.99995697	-0.9999719	-0.999989	-0.99996495	0.99993473	-0.9999593	0.99999386	0.999988	-0.9999844	0.9999949	-0.9999109	-0.9999744	-0.9999581	0.9999717	-0.9999882	-0.99998593	-0.9999798	-0.9999826	-0.99995786	0.9999807	0.9999781	-0.99997133	-0.9999731	-0.9999905	-0.9999859	-0.99992317	0.9999792	-0.9999785
11	-0.9999927	-0.9999811	0.9999785	-0.99996555	0.9999964	-0.9999893	0.9999945	-0.9999979	0.99998814	-0.9999978	-0.99999166	0.9999616	0.9999903	-0.9999956	-0.9999933	0.9999829	-0.9999612	0.99998975	-0.9999923	-0.99999624	0.9999882	0.99999464	-0.99995357	-0.9999966	-0.9999815	-0.9999921	0.9999913	-0.99998623	0.9999879	0.99999726	-0.9999971	0.9999702	-0.9999753	-0.9999865	-0.9999928	0.9999934	-0.99999326	-0.99999267	-0.99999446	-0.99998665	-0.99995136	0.99999744	0.9999901	-0.9999889	-0.99999833	-0.9999872	-0.99998856	-0.99998856	0.99999726	-0.99999315
12	-0.9999895	-0.99995923	0.9999701	-0.9999729	0.99997336	-0.99996126	0.99998575	-0.99997747	0.99997056	-0.99998015	-0.99996334	0.9999306	0.9999789	-0.99997294	-0.99999046	0.9999692	-0.99997866	0.9999253	-0.9999587	-0.99997383	0.9999781	0.99997884	-0.9999729	-0.99996907	-0.9999747	-0.99998987	0.99996936	-0.9999822	0.99996406	0.99998724	-0.9999912	0.99997777	-0.999971	-0.9999751	-0.99996805	0.9999183	-0.99997395	-0.9999867	-0.9999939	-0.9999454	-0.999962	0.99998987	0.99996126	-0.9999464	-0.99996823	-0.9999419	-0.9999506	-0.9999652	0.9999702	-0.99998367
13	-0.99998087	-0.99996054	0.99982595	-0.9998765	0.99998224	-0.99996513	0.9999505	-0.9999941	0.9999643	-0.99988914	-0.99997747	0.9999157	0.9998698	-0.99998146	-0.9999845	0.9999675	-0.9999745	0.99999124	-0.9999737	-0.99995667	0.99998933	0.9999894	-0.9998754	-0.99997675	-0.9999818	-0.9999418	0.99992895	-0.99995404	0.9999436	0.9999783	-0.9999731	0.99999076	-0.99994206	-0.999912	-0.9999157	0.9999814	-0.99999315	-0.9999736	-0.9999836	-0.99993414	-0.9998473	0.99996734	0.99997246	-0.9998681	-0.99997824	-0.9999779	-0.999982	-0.9999709	0.99989766	-0.9998834
14	-0.99998134	-0.99997103	0.9999303	-0.9999342	0.9999892	-0.9999707	0.99997824	-0.99998426	0.9999305	-0.9999133	-0.99996847	0.9999394	0.99997014	-0.9998923	-0.99995023	0.9999609	-0.999931	0.9999632	-0.9999904	-0.99996305	0.99998814	0.99998176	-0.9999408	-0.99997544	-0.9999888	-0.9999691	0.9998451	-0.9999599	0.9999581	0.9999531	-0.99996084	0.999988	-0.9999801	-0.9999744	-0.9999681	0.9999474	-0.99997	-0.99994206	-0.9999434	-0.99997973	-0.99997485	0.9999621	0.9999849	-0.9999501	-0.9999866	-0.9999572	-0.9999348	-0.9999165	0.9998458	-0.9999766
15	-0.99999356	-0.99999064	0.99998546	-0.9999852	0.9999867	-0.9999883	0.99997663	-0.99999774	0.9999926	-0.9999877	-0.9999884	0.99997216	0.999989	-0.9999893	-0.9999834	0.9999785	-0.99998635	0.9999955	-0.99997336	-0.9999882	0.99999726	0.99999374	-0.9999869	-0.999989	-0.9999893	-0.9999629	0.99997956	-0.99995965	0.9999909	0.99999195	-0.9999883	0.99999374	-0.99998033	-0.99999136	-0.99996984	0.9999839	-0.99999726	-0.9999784	-0.9999928	-0.9999667	-0.9999665	0.99999213	0.9999947	-0.99998504	-0.9999734	-0.99999076	-0.99998695	-0.99999017	0.99998873	-0.99998647
16	-0.99999106	-0.99999297	0.9999303	-0.99998915	0.9999844	-0.999996	0.9999892	-0.9999955	0.9999898	-0.9999977	-0.99998736	0.9999719	0.9999656	-0.99997556	-0.999988	0.99998826	-0.9999885	0.999995	-0.99999374	-0.99999326	0.99999577	0.9999929	-0.99991775	-0.9999957	-0.99998903	-0.99997884	0.99998116	-0.9999387	0.9999784	0.99999046	-0.9999842	0.99997205	-0.9999741	-0.99999166	-0.9999901	0.99999046	-0.9999959	-0.9999871	-0.9999915	-0.9999826	-0.9999267	0.9999959	0.9999968	-0.9999898	-0.9999985	-0.9999945	-0.99998444	-0.999993	0.9999971	-0.9999891
17	-0.99998665	-0.9999941	0.9999804	-0.999982	0.99999267	-0.99999046	0.9999672	-0.9999956	0.9999978	-0.99998873	-0.99999374	0.9999768	0.9999846	-0.99998426	-0.9999874	0.99998784	-0.99998176	0.9999959	-0.99996	-0.99998003	0.99999034	0.9999934	-0.9999666	-0.99999017	-0.99999076	-0.99997115	0.99998397	-0.9999702	0.99999017	0.999996	-0.9999979	0.9999959	-0.99997306	-0.99997944	-0.9999904	0.9999876	-0.9999965	-0.99999267	-0.99997896	-0.9999659	-0.9998794	0.9999978	0.9999933	-0.9999934	-0.9999782	-0.9999906	-0.99996454	-0.99998736	0.99998343	-0.99998426
18	-0.99999404	-0.9999921	0.99998295	-0.99999255	0.99999535	-0.9999916	0.99999446	-0.99999344	0.9999974	-0.999989	-0.9999962	0.9999582	0.9999942	-0.99998766	-0.9999729	0.9999952	-0.9999891	0.99999034	-0.99999726	-0.9999919	0.9999978	0.99998814	-0.999958	-0.9999816	-0.9999945	-0.99999416	0.99999464	-0.99998826	0.99999547	0.99999714	-0.99998796	0.99999326	-0.9999895	-0.9999963	-0.9999932	0.99997026	-0.9999936	-0.9999967	-0.9999935	-0.99999636	-0.9999845	0.9999977	0.9999991	-0.9999861	-0.9999819	-0.99999714	-0.99999547	-0.9999961	0.9999974	-0.999989
19	-0.99997324	-0.99997187	0.9999763	-0.9999955	0.99996567	-0.99998367	0.99999046	-0.9999975	0.99999607	-0.99999326	-0.9999928	0.9999893	0.9999838	-0.999983	-0.9999729	0.9999862	-0.99997616	0.99999434	-0.99998057	-0.9999761	0.9999793	0.9999952	-0.9999404	-0.999993	-0.9999768	-0.99998194	0.9999883	-0.99998426	0.99998057	0.99999875	-0.999997	0.9999817	-0.9999835	-0.9999801	-0.9999792	0.99999416	-0.999997	-0.9999935	-0.9999709	-0.99998957	-0.99994916	0.99999815	0.99999315	-0.99998504	-0.9999947	-0.9999915	-0.9999948	-0.99999106	0.99999595	-0.9999953
